幣種,價格,24h漲跌,24h成交量,市值
Bitcoin,"$27,434.93",-5.56%,"34,400.58M","$523,056.87M"
Ethereum,"$1,462.85",-8.46%,"25,034.70M","$177,212.69M"
TetherUS,$1.00,-9.94%,"60,172.12M","$72,494.98M"
USD Coin,$1.00,-14.10%,"5,919.60M","$53,889.11M"
BNB,$256.30,-9.09%,"1,495.74M","$41,847.88M"
BUSD,$1.00,-11.46%,"5,482.07M","$17,907.05M"
Cardano,$0.51,-12.56%,"1,501.01M","$17,381.01M"
Ripple,$0.35,-0.03%,"1,466.50M","$16,818.56M"
Solana,$32.60,-12.47%,"1,396.25M","$11,151.71M"
Dogecoin,$0.07,-4.75%,697.63M,"$8,719.12M"
Wrapped Bitcoin,"$27,477.41",-17.34%,333.45M,"$7,526.09M"
Polkadot,$7.58,-13.22%,580.59M,"$7,485.85M"
TRON,$0.08,-12.80%,888.71M,"$7,015.38M"
Avalanche,$18.45,-1.16%,720.73M,"$5,184.07M"
SHIBA INU,$0.00,-12.35%,479.45M,"$4,941.56M"
Polygon,$0.51,-17.60%,459.58M,"$4,065.60M"
FTX Token,$27.33,-8.69%,94.46M,"$3,714.62M"
Litecoin,$49.70,-12.16%,821.95M,"$3,503.30M"
ChainLink,$6.60,-9.00%,737.65M,"$3,082.26M"
Stellar Lumens,$0.12,-9.22%,184.30M,"$3,016.41M"
Uniswap,$4.19,-15.33%,142.75M,"$3,014.27M"
Monero,$159.70,-12.44%,143.28M,"$2,895.93M"
Bitcoin Cash,$151.60,-9.31%,"2,022.56M","$2,893.79M"
NEAR Protocol,$3.85,-11.21%,389.27M,"$2,732.48M"
Ethereum Classic,$17.18,-17.62%,326.82M,"$2,323.54M"
Algorand,$0.33,-10.34%,121.50M,"$2,279.84M"
Cosmos,$7.21,-14.47%,268.61M,"$2,064.72M"
Flow,$1.87,-12.10%,64.16M,"$1,937.69M"
VeChain,$0.03,-11.79%,170.99M,"$1,917.91M"
Tezos,$1.69,-0.83%,145.17M,"$1,517.47M"
